,twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
15,@BBC,16,Fri May 22 08:11:47 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk"
16,@BBC,17,Fri May 22 08:01:00 +0000 2020,0.34,0.106,0.203,0.691,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.… https://t.co/aXLOTxZxgg"
17,@BBC,18,Fri May 22 00:01:00 +0000 2020,0.3384,0.082,0.149,0.769,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety a… https://t.co/l5Fdpb6PuJ"
18,@BBC,19,Thu May 21 20:30:00 +0000 2020,0.765,0.0,0.268,0.732,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx"
19,@BBC,20,Thu May 21 19:02:17 +0000 2020,0.4019,0.0,0.153,0.847,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz"
20,@BBC,21,Thu May 21 19:01:00 +0000 2020,-0.1531,0.086,0.0,0.914,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji
21,@BBC,22,Thu May 21 18:01:00 +0000 2020,0.3818,0.123,0.241,0.636,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol"
22,@BBC,23,Thu May 21 16:20:13 +0000 2020,0.0,0.0,0.0,1.0,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC"
23,@BBC,24,Thu May 21 16:01:00 +0000 2020,0.0,0.0,0.0,1.0,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt"
24,@BBC,25,Thu May 21 15:41:52 +0000 2020,0.5307,0.0,0.13,0.87,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…
25,@BBC,26,Thu May 21 14:07:13 +0000 2020,0.0,0.0,0.0,1.0,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU
